***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.46 - Agosto  de 2023 (CPLEX)                      *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA ONS                                                                                                                                                   


____________________________________________________________________

  TE  PMO - DEZEMBRO/23 - JANEIRO/24 - REV 0 - FCF COM CVAR - 12 REE - VALOR ESPE- Data do Caso: 29/11/2023                                                       
____________________________________________________________________



Resultados Relativos as Usinas Termicas:

----;-------;----;-------------;----;----;-----------;-----------;-----------;------------;-----;-----------;
IPER;  Pat  ;USIT;     Nome    ;Unid;Sist;  Geracao  ;    GMin   ;    GMax   ; Capacidade ; L/D ;CustoLinear;
    ;       ;    ;             ;    ;    ;     MW    ;     MW    ;     MW    ;      MW    ;     ;   $/(MWh) ;
----;-------;----;-------------;----;----;-----------;-----------;-----------;------------;-----;-----------;
 21 ; MEDIA ;250 ;PORSUD II    ;  2 ; SE ;      0.00 ;      0.00 ;     36.00 ;      36.00 ;  L  ;   1203.97 ;
 21 ; MEDIA ;250 ;PORSUD II    ;  3 ; SE ;      0.00 ;      0.00 ;     54.00 ;      54.00 ;  L  ;   1203.97 ;
 21 ; MEDIA ;250 ;PORSUD II    ;  4 ; SE ;      0.00 ;      0.00 ;     72.00 ;      72.00 ;  L  ;   1203.97 ;
 21 ; MEDIA ;250 ;PORSUD II    ;  5 ; SE ;      0.00 ;      0.00 ;     75.00 ;      75.00 ;  L  ;   1203.97 ;
 21 ; MEDIA ;250 ;PORSUD II    ; 99 ; SE ;      0.00 ;      0.00 ;     76.00 ;     255.00 ;  -  ;           ;
 21 ; MEDIA ;251 ;POVOACAO 1   ;  1 ; SE ;      0.00 ;      0.00 ;     56.22 ;      56.22 ;  L  ;   1544.47 ;
 21 ; MEDIA ;251 ;POVOACAO 1   ;  2 ; SE ;      0.00 ;      0.00 ;     18.74 ;      18.74 ;  L  ;   1544.47 ;
 21 ; MEDIA ;251 ;POVOACAO 1   ; 99 ; SE ;      0.00 ;      0.00 ;     74.96 ;      74.96 ;  -  ;           ;
 21 ; MEDIA ;253 ;VIANA 1      ;  1 ; SE ;      0.00 ;      0.00 ;      9.37 ;       9.37 ;  L  ;   1544.47 ;
 21 ; MEDIA ;253 ;VIANA 1      ;  2 ; SE ;      0.00 ;      0.00 ;      9.37 ;       9.37 ;  L  ;   1544.47 ;
 21 ; MEDIA ;253 ;VIANA 1      ;  3 ; SE ;      0.00 ;      0.00 ;      9.37 ;       9.37 ;  L  ;   1544.47 ;
 21 ; MEDIA ;253 ;VIANA 1      ;  4 ; SE ;      0.00 ;      0.00 ;      9.37 ;       9.37 ;  L  ;   1544.47 ;
 21 ; MEDIA ;253 ;VIANA 1      ; 99 ; SE ;      0.00 ;      0.00 ;     37.00 ;      37.48 ;  -  ;           ;
 21 ; MEDIA ;254 ;B. BONITA I  ;  1 ; S  ;      4.00 ;      0.00 ;     10.32 ;      10.32 ;  L  ;    708.84 ;
 21 ; MEDIA ;254 ;B. BONITA I  ; 99 ; S  ;      4.00 ;      4.00 ;      9.00 ;      10.32 ;  -  ;           ;
 21 ; MEDIA ;334 ;W ARJONA     ;  1 ; SE ;      0.00 ;      0.00 ;      0.00 ;      39.16 ;  D  ;      0.00 ;
 21 ; MEDIA ;334 ;W ARJONA     ;  2 ; SE ;      0.00 ;      0.00 ;      0.00 ;      39.16 ;  D  ;      0.00 ;
 21 ; MEDIA ;334 ;W ARJONA     ;  3 ; SE ;      0.00 ;      0.00 ;      0.00 ;      33.00 ;  D  ;      0.00 ;
 21 ; MEDIA ;334 ;W ARJONA     ;  4 ; SE ;      0.00 ;      0.00 ;      0.00 ;      33.10 ;  D  ;      0.00 ;
 21 ; MEDIA ;334 ;W ARJONA     ;  5 ; SE ;      0.00 ;      0.00 ;      0.00 ;      32.70 ;  D  ;      0.00 ;
 21 ; MEDIA ;334 ;W ARJONA     ; 99 ; SE ;      0.00 ;      0.00 ;      0.00 ;     177.12 ;  -  ;           ;
 21 ; MEDIA ;383 ;ATLANTICO    ;  1 ; SE ;     90.00 ;      0.00 ;     90.00 ;      90.00 ;  L  ;      0.00 ;
 21 ; MEDIA ;383 ;ATLANTICO    ;  2 ; SE ;      0.00 ;      0.00 ;      0.00 ;      90.00 ;  D  ;      0.00 ;
 21 ; MEDIA ;383 ;ATLANTICO    ;  3 ; SE ;      0.00 ;      0.00 ;    155.00 ;     155.00 ;  L  ;      0.00 ;
 21 ; MEDIA ;383 ;ATLANTICO    ;  4 ; SE ;      0.00 ;      0.00 ;      0.00 ;     180.00 ;  D  ;      0.00 ;
 21 ; MEDIA ;383 ;ATLANTICO    ;  5 ; SE ;    140.00 ;      0.00 ;    295.00 ;     295.00 ;  L  ;      0.00 ;
 21 ; MEDIA ;383 ;ATLANTICO    ;  6 ; SE ;      0.00 ;      0.00 ;      0.00 ;     295.00 ;  D  ;      0.00 ;
 21 ; MEDIA ;383 ;ATLANTICO    ;  7 ; SE ;      0.00 ;      0.00 ;      0.00 ;     455.70 ;  D  ;      0.00 ;
 21 ; MEDIA ;383 ;ATLANTICO    ; 99 ; SE ;    230.00 ;    230.00 ;    230.00 ;    1560.70 ;  -  ;           ;
 21 ; MEDIA ;434 ;W ARJONA 2   ;  1 ; SE ;      0.00 ;      0.00 ;      0.00 ;      39.16 ;  D  ;      0.00 ;
 21 ; MEDIA ;434 ;W ARJONA 2   ;  2 ; SE ;      0.00 ;      0.00 ;      0.00 ;      39.16 ;  D  ;      0.00 ;
 21 ; MEDIA ;434 ;W ARJONA 2   ;  3 ; SE ;      0.00 ;      0.00 ;      0.00 ;      33.00 ;  D  ;      0.00 ;
 21 ; MEDIA ;434 ;W ARJONA 2   ;  4 ; SE ;      0.00 ;      0.00 ;      0.00 ;      33.10 ;  D  ;      0.00 ;
 21 ; MEDIA ;434 ;W ARJONA 2   ;  5 ; SE ;      0.00 ;      0.00 ;      0.00 ;      32.70 ;  D  ;      0.00 ;
 21 ; MEDIA ;434 ;W ARJONA 2   ; 99 ; SE ;      0.00 ;      0.00 ;      0.00 ;     177.12 ;  -  ;           ;
 22 ; MEDIA ;  1 ;ANGRA 1      ;  1 ; SE ;      0.00 ;      0.00 ;      0.00 ;     640.00 ;  D  ;     31.17 ;
 22 ; MEDIA ;  1 ;ANGRA 1      ; 99 ; SE ;      0.00 ;      0.00 ;      0.00 ;     640.00 ;  -  ;           ;
 22 ; MEDIA ;  4 ;ST.CRUZ 34   ;  3 ; SE ;      0.00 ;      0.00 ;      0.00 ;     218.00 ;  D  ;    310.41 ;
 22 ; MEDIA ;  4 ;ST.CRUZ 34   ;  4 ; SE ;      0.00 ;      0.00 ;      0.00 ;     218.00 ;  D  ;    310.41 ;
 22 ; MEDIA ;  4 ;ST.CRUZ 34   ; 99 ; SE ;      0.00 ;      0.00 ;      0.00 ;     436.00 ;  -  ;           ;
 22 ; MEDIA ; 12 ;CUIABA G CC  ;  1 ; SE ;      0.00 ;      0.00 ;      0.00 ;     245.00 ;  D  ;      0.00 ;
 22 ; MEDIA ; 12 ;CUIABA G CC  ;  2 ; SE ;      0.00 ;      0.00 ;      0.00 ;     245.00 ;  D  ;      0.00 ;
 22 ; MEDIA ; 12 ;CUIABA G CC  ;  3 ; SE ;      0.00 ;      0.00 ;      0.00 ;     490.00 ;  D  ;      0.00 ;
 22 ; MEDIA ; 12 ;CUIABA G CC  ; 99 ; SE ;      0.00 ;      0.00 ;      0.00 ;     980.00 ;  -  ;           ;
 22 ; MEDIA ; 13 ;ANGRA 2      ;  1 ; SE ;   1350.00 ;      0.00 ;   1350.00 ;    1350.00 ;  L  ;     20.12 ;
 22 ; MEDIA ; 13 ;ANGRA 2      ; 99 ; SE ;   1350.00 ;   1350.00 ;   1350.00 ;    1350.00 ;  -  ;           ;
 22 ; MEDIA ; 15 ;LINHARES     ;  1 ; SE ;      0.00 ;      0.00 ;     51.00 ;      51.00 ;  L  ;    308.57 ;
 22 ; MEDIA ; 15 ;LINHARES     ;  2 ; SE ;      0.00 ;      0.00 ;     51.00 ;      51.00 ;  L  ;    308.57 ;
 22 ; MEDIA ; 15 ;LINHARES     ;  3 ; SE ;      0.00 ;      0.00 ;     51.00 ;      51.00 ;  L  ;    308.57 ;
 22 ; MEDIA ; 15 ;LINHARES     ;  4 ; SE ;      0.00 ;      0.00 ;     51.00 ;      51.00 ;  L  ;    308.57 ;
 22 ; MEDIA ; 15 ;LINHARES     ; 99 ; SE ;      0.00 ;      0.00 ;    204.00 ;     204.00 ;  -  ;           ;
 22 ; MEDIA ; 21 ;MARANHAO V   ;  1 ; N  ;      0.00 ;      0.00 ;    337.60 ;     337.60 ;  L  ;    189.96 ;
 22 ; MEDIA ; 21 ;MARANHAO V   ; 99 ; N  ;      0.00 ;      0.00 ;    337.60 ;     337.60 ;  -  ;           ;
 22 ; MEDIA ; 24 ;J.LACERDA C  ;  7 ; S  ;    300.00 ;      0.00 ;    330.00 ;     330.00 ;  L  ;    311.53 ;
 22 ; MEDIA ; 24 ;J.LACERDA C  ; 99 ; S  ;    300.00 ;    300.00 ;    330.00 ;     330.00 ;  -  ;           ;
 22 ; MEDIA ; 25 ;J.LACERDA B  ;  5 ; S  ;    110.00 ;      0.00 ;    110.00 ;     110.00 ;  L  ;    362.67 ;
 22 ; MEDIA ; 25 ;J.LACERDA B  ;  6 ; S  ;      0.00 ;      0.00 ;      0.00 ;     110.00 ;  D  ;    362.67 ;
 22 ; MEDIA ; 25 ;J.LACERDA B  ; 99 ; S  ;    110.00 ;    110.00 ;    110.00 ;     220.00 ;  -  ;           ;
 22 ; MEDIA ; 26 ;J.LACERDA A1 ;  1 ; S  ;      0.00 ;      0.00 ;     40.00 ;      40.00 ;  L  ;    434.59 ;
 22 ; MEDIA ; 26 ;J.LACERDA A1 ;  2 ; S  ;      0.00 ;      0.00 ;     40.00 ;      40.00 ;  L  ;    434.59 ;
 22 ; MEDIA ; 26 ;J.LACERDA A1 ; 99 ; S  ;      0.00 ;      0.00 ;     80.00 ;      80.00 ;  -  ;           ;
 22 ; MEDIA ; 27 ;J.LACERDA A2 ;  3 ; S  ;     55.00 ;      0.00 ;     55.00 ;      55.00 ;  L  ;    372.62 ;
 22 ; MEDIA ; 27 ;J.LACERDA A2 ;  4 ; S  ;      0.00 ;      0.00 ;      0.00 ;      55.00 ;  D  ;    372.62 ;
 22 ; MEDIA ; 27 ;J.LACERDA A2 ; 99 ; S  ;     55.00 ;     55.00 ;     55.00 ;     110.00 ;  -  ;           ;
 22 ; MEDIA ; 28 ;FIGUEIRA     ;  1 ; S  ;      0.00 ;      0.00 ;      0.00 ;      20.00 ;  D  ;    330.64 ;
 22 ; MEDIA ; 28 ;FIGUEIRA     ; 99 ; S  ;      0.00 ;      0.00 ;      0.00 ;      20.00 ;  -  ;           ;
 22 ; MEDIA ; 35 ;URUGUAIANA   ;  1 ; S  ;      0.00 ;      0.00 ;      0.00 ;     250.00 ;  D  ;      0.00 ;
 22 ; MEDIA ; 35 ;URUGUAIANA   ;  2 ; S  ;      0.00 ;      0.00 ;      0.00 ;     250.00 ;  D  ;      0.00 ;
 22 ; MEDIA ; 35 ;URUGUAIANA   ;  3 ; S  ;      0.00 ;      0.00 ;      0.00 ;     565.00 ;  D  ;      0.00 ;
 22 ; MEDIA ; 35 ;URUGUAIANA   ; 99 ; S  ;      0.00 ;      0.00 ;      0.00 ;    1065.00 ;  -  ;           ;
 22 ; MEDIA ; 36 ;MARANHAO IV  ;  1 ; N  ;      0.00 ;      0.00 ;    337.60 ;     337.60 ;  L  ;    189.96 ;
 22 ; MEDIA ; 36 ;MARANHAO IV  ; 99 ; N  ;      0.00 ;      0.00 ;    337.60 ;     337.60 ;  -  ;           ;
 22 ; MEDIA ; 42 ;FORTALEZA    ;  1 ; NE ;      0.00 ;      0.00 ;    160.00 ;     160.00 ;  L  ;    285.83 ;
 22 ; MEDIA ; 42 ;FORTALEZA    ;  2 ; NE ;      0.00 ;      0.00 ;    160.00 ;     160.00 ;  L  ;    285.83 ;
 22 ; MEDIA ; 42 ;FORTALEZA    ;  3 ; NE ;      0.00 ;      0.00 ;    327.00 ;     327.00 ;  L  ;    285.83 ;
 22 ; MEDIA ; 42 ;FORTALEZA    ; 99 ; NE ;      0.00 ;      0.00 ;    327.00 ;     647.00 ;  -  ;           ;
 22 ; MEDIA ; 43 ;TERMOBAHIA   ;  1 ; NE ;      0.00 ;      0.00 ;    185.89 ;     185.89 ;  L  ;    783.44 ;
 22 ; MEDIA ; 43 ;TERMOBAHIA   ; 99 ; NE ;      0.00 ;      0.00 ;    170.00 ;     185.89 ;  -  ;           ;
 22 ; MEDIA ; 46 ;N.VENECIA 2  ;  1 ; N  ;      0.00 ;      0.00 ;    178.21 ;     178.21 ;  L  ;    286.88 ;
 22 ; MEDIA ; 46 ;N.VENECIA 2  ; 99 ; N  ;      0.00 ;      0.00 ;    178.00 ;     178.21 ;  -  ;           ;
 22 ; MEDIA ; 47 ;TERMORIO     ;  1 ; SE ;      0.00 ;      0.00 ;      0.00 ;     354.00 ;  D  ;    389.17 ;
 22 ; MEDIA ; 47 ;TERMORIO     ;  2 ; SE ;      0.00 ;      0.00 ;      0.00 ;     513.00 ;  D  ;    389.17 ;
 22 ; MEDIA ; 47 ;TERMORIO     ;  3 ; SE ;      0.00 ;      0.00 ;      0.00 ;     513.00 ;  D  ;    389.17 ;
 22 ; MEDIA ; 47 ;TERMORIO     ;  4 ; SE ;      0.00 ;      0.00 ;      0.00 ;     513.00 ;  D  ;    389.17 ;
 22 ; MEDIA ; 47 ;TERMORIO     ;  5 ; SE ;      0.00 ;      0.00 ;      0.00 ;     513.00 ;  D  ;    389.17 ;
 22 ; MEDIA ; 47 ;TERMORIO     ;  6 ; SE ;      0.00 ;      0.00 ;      0.00 ;     671.00 ;  D  ;    389.17 ;
 22 ; MEDIA ; 47 ;TERMORIO     ;  7 ; SE ;      0.00 ;      0.00 ;      0.00 ;     671.00 ;  D  ;    389.17 ;
 22 ; MEDIA ; 47 ;TERMORIO     ;  8 ; SE ;      0.00 ;      0.00 ;      0.00 ;     671.00 ;  D  ;    389.17 ;
 22 ; MEDIA ; 47 ;TERMORIO     ;  9 ; SE ;      0.00 ;      0.00 ;      0.00 ;     671.00 ;  D  ;    389.17 ;
 22 ; MEDIA ; 47 ;TERMORIO     ; 10 ; SE ;      0.00 ;      0.00 ;      0.00 ;     671.00 ;  D  ;    389.17 ;
 22 ; MEDIA ; 47 ;TERMORIO     ; 11 ; SE ;      0.00 ;      0.00 ;      0.00 ;     671.00 ;  D  ;    389.17 ;
 22 ; MEDIA ; 47 ;TERMORIO     ; 12 ; SE ;      0.00 ;      0.00 ;      0.00 ;     830.00 ;  D  ;    389.17 ;
 22 ; MEDIA ; 47 ;TERMORIO     ; 13 ; SE ;      0.00 ;      0.00 ;      0.00 ;     830.00 ;  D  ;    389.17 ;
 22 ; MEDIA ; 47 ;TERMORIO     ; 14 ; SE ;      0.00 ;      0.00 ;      0.00 ;     830.00 ;  D  ;    389.17 ;
 22 ; MEDIA ; 47 ;TERMORIO     ; 15 ; SE ;      0.00 ;      0.00 ;      0.00 ;     830.00 ;  D  ;    389.17 ;
 22 ; MEDIA ; 47 ;TERMORIO     ; 16 ; SE ;      0.00 ;      0.00 ;      0.00 ;     989.00 ;  D  ;    389.17 ;
 22 ; MEDIA ; 47 ;TERMORIO     ; 17 ; SE ;      0.00 ;      0.00 ;    158.00 ;     158.00 ;  L  ;    389.17 ;
 22 ; MEDIA ; 47 ;TERMORIO     ; 18 ; SE ;      0.00 ;      0.00 ;    158.00 ;     158.00 ;  L  ;    389.17 ;
 22 ; MEDIA ; 47 ;TERMORIO     ; 19 ; SE ;      0.00 ;      0.00 ;    158.00 ;     158.00 ;  L  ;    389.17 ;
 22 ; MEDIA ; 47 ;TERMORIO     ; 20 ; SE ;      0.00 ;      0.00 ;    158.00 ;     158.00 ;  L  ;    389.17 ;
 22 ; MEDIA ; 47 ;TERMORIO     ; 21 ; SE ;      0.00 ;      0.00 ;    317.00 ;     317.00 ;  L  ;    389.17 ;
 22 ; MEDIA ; 47 ;TERMORIO     ; 22 ; SE ;      0.00 ;      0.00 ;    317.00 ;     317.00 ;  L  ;    389.17 ;
 22 ; MEDIA ; 47 ;TERMORIO     ; 23 ; SE ;      0.00 ;      0.00 ;    317.00 ;     317.00 ;  L  ;    389.17 ;
 22 ; MEDIA ; 47 ;TERMORIO     ; 24 ; SE ;      0.00 ;      0.00 ;    317.00 ;     317.00 ;  L  ;    389.17 ;
 22 ; MEDIA ; 47 ;TERMORIO     ; 25 ; SE ;      0.00 ;      0.00 ;    317.00 ;     317.00 ;  L  ;    389.17 ;
 22 ; MEDIA ; 47 ;TERMORIO     ; 26 ; SE ;      0.00 ;      0.00 ;    317.00 ;     317.00 ;  L  ;    389.17 ;
 22 ; MEDIA ; 47 ;TERMORIO     ; 27 ; SE ;      0.00 ;      0.00 ;    476.00 ;     476.00 ;  L  ;    389.17 ;
 22 ; MEDIA ; 47 ;TERMORIO     ; 28 ; SE ;      0.00 ;      0.00 ;    476.00 ;     476.00 ;  L  ;    389.17 ;
 22 ; MEDIA ; 47 ;TERMORIO     ; 29 ; SE ;      0.00 ;      0.00 ;    476.00 ;     476.00 ;  L  ;    389.17 ;
 22 ; MEDIA ; 47 ;TERMORIO     ; 30 ; SE ;      0.00 ;      0.00 ;    476.00 ;     476.00 ;  L  ;    389.17 ;
 22 ; MEDIA ; 47 ;TERMORIO     ; 31 ; SE ;      0.00 ;      0.00 ;    634.00 ;     634.00 ;  L  ;    389.17 ;
 22 ; MEDIA ; 47 ;TERMORIO     ; 99 ; SE ;      0.00 ;      0.00 ;    790.00 ;   15813.00 ;  -  ;           ;
 22 ; MEDIA ; 48 ;ARAUCARIA    ;  1 ; S  ;      0.00 ;      0.00 ;    235.00 ;     235.00 ;  L  ;   2305.34 ;
 22 ; MEDIA ; 48 ;ARAUCARIA    ;  2 ; S  ;      0.00 ;      0.00 ;    235.00 ;     235.00 ;  L  ;   2305.34 ;
 22 ; MEDIA ; 48 ;ARAUCARIA    ;  3 ; S  ;      0.00 ;      0.00 ;    484.15 ;     484.15 ;  L  ;   2305.34 ;
 22 ; MEDIA ; 48 ;ARAUCARIA    ; 99 ; S  ;      0.00 ;      0.00 ;      0.00 ;     954.15 ;  -  ;           ;
 22 ; MEDIA ; 49 ;VIANA        ;  3 ; SE ;      0.00 ;      0.00 ;     43.65 ;      43.65 ;  L  ;   1098.60 ;
 22 ; MEDIA ; 49 ;VIANA        ;  4 ; SE ;      0.00 ;      0.00 ;     87.30 ;      87.30 ;  L  ;   1098.60 ;
 22 ; MEDIA ; 49 ;VIANA        ;  1 ; SE ;      0.00 ;      0.00 ;    130.95 ;     130.95 ;  L  ;   1098.60 ;
 22 ; MEDIA ; 49 ;VIANA        ;  2 ; SE ;      0.00 ;      0.00 ;    174.60 ;     174.60 ;  L  ;   1098.60 ;
 22 ; MEDIA ; 49 ;VIANA        ; 99 ; SE ;      0.00 ;      0.00 ;    175.00 ;     436.50 ;  -  ;           ;
 22 ; MEDIA ; 50 ;PIRAT.12 G   ;  1 ; SE ;      0.00 ;      0.00 ;      0.00 ;     100.00 ;  D  ;    470.34 ;
 22 ; MEDIA ; 50 ;PIRAT.12 G   ;  2 ; SE ;      0.00 ;      0.00 ;      0.00 ;     100.00 ;  D  ;    470.34 ;
 22 ; MEDIA ; 50 ;PIRAT.12 G   ; 99 ; SE ;      0.00 ;      0.00 ;      0.00 ;     200.00 ;  -  ;           ;
 22 ; MEDIA ; 52 ;CAMPINA GDE  ;  1 ; NE ;      0.00 ;      0.00 ;     42.27 ;      42.27 ;  L  ;   1098.62 ;
 22 ; MEDIA ; 52 ;CAMPINA GDE  ;  2 ; NE ;      0.00 ;      0.00 ;     42.27 ;      42.27 ;  L  ;   1098.62 ;
 22 ; MEDIA ; 52 ;CAMPINA GDE  ;  3 ; NE ;      0.00 ;      0.00 ;     42.27 ;      42.27 ;  L  ;   1098.62 ;
 22 ; MEDIA ; 52 ;CAMPINA GDE  ;  4 ; NE ;      0.00 ;      0.00 ;     42.27 ;      42.27 ;  L  ;   1098.62 ;
 22 ; MEDIA ; 52 ;CAMPINA GDE  ; 99 ; NE ;      0.00 ;      0.00 ;    169.00 ;     169.08 ;  -  ;           ;
 22 ; MEDIA ; 53 ;GLOBAL I     ;  1 ; NE ;      0.00 ;      0.00 ;     79.36 ;      79.36 ;  L  ;   1244.94 ;
 22 ; MEDIA ; 53 ;GLOBAL I     ;  2 ; NE ;      0.00 ;      0.00 ;     79.36 ;      79.36 ;  L  ;   1244.94 ;
 22 ; MEDIA ; 53 ;GLOBAL I     ;  3 ; NE ;      0.00 ;      0.00 ;     79.36 ;      79.36 ;  L  ;   1244.94 ;
 22 ; MEDIA ; 53 ;GLOBAL I     ;  4 ; NE ;      0.00 ;      0.00 ;     69.44 ;      69.44 ;  L  ;   1244.94 ;
 22 ; MEDIA ; 53 ;GLOBAL I     ;  5 ; NE ;      0.00 ;      0.00 ;     69.44 ;      69.44 ;  L  ;   1244.94 ;
 22 ; MEDIA ; 53 ;GLOBAL I     ;  6 ; NE ;      0.00 ;      0.00 ;     69.44 ;      69.44 ;  L  ;   1244.94 ;
 22 ; MEDIA ; 53 ;GLOBAL I     ;  7 ; NE ;      0.00 ;      0.00 ;    114.08 ;     114.08 ;  L  ;   1244.94 ;
 22 ; MEDIA ; 53 ;GLOBAL I     ;  8 ; NE ;      0.00 ;      0.00 ;    114.08 ;     114.08 ;  L  ;   1244.94 ;
 22 ; MEDIA ; 53 ;GLOBAL I     ;  9 ; NE ;      0.00 ;      0.00 ;    104.16 ;     104.16 ;  L  ;   1244.94 ;
 22 ; MEDIA ; 53 ;GLOBAL I     ; 10 ; NE ;      0.00 ;      0.00 ;    114.08 ;     114.08 ;  L  ;   1244.94 ;
 22 ; MEDIA ; 53 ;GLOBAL I     ; 11 ; NE ;      0.00 ;      0.00 ;    148.80 ;     148.80 ;  L  ;   1244.94 ;
 22 ; MEDIA ; 53 ;GLOBAL I     ; 99 ; NE ;      0.00 ;      0.00 ;    144.00 ;    1041.60 ;  -  ;           ;
 22 ; MEDIA ; 54 ;JUIZ DE FORA ;  1 ; SE ;      0.00 ;      0.00 ;     43.94 ;      43.94 ;  L  ;   1076.42 ;
 22 ; MEDIA ; 54 ;JUIZ DE FORA ;  2 ; SE ;      0.00 ;      0.00 ;     43.11 ;      43.11 ;  L  ;   1076.42 ;
 22 ; MEDIA ; 54 ;JUIZ DE FORA ; 99 ; SE ;      0.00 ;      0.00 ;     84.00 ;      87.05 ;  -  ;           ;
 22 ; MEDIA ; 55 ;GLOBAL II    ;  1 ; NE ;      0.00 ;      0.00 ;     79.36 ;      79.36 ;  L  ;   1244.94 ;
 22 ; MEDIA ; 55 ;GLOBAL II    ;  2 ; NE ;      0.00 ;      0.00 ;     79.36 ;      79.36 ;  L  ;   1244.94 ;
 22 ; MEDIA ; 55 ;GLOBAL II    ;  3 ; NE ;      0.00 ;      0.00 ;     79.36 ;      79.36 ;  L  ;   1244.94 ;
 22 ; MEDIA ; 55 ;GLOBAL II    ;  4 ; NE ;      0.00 ;      0.00 ;     69.44 ;      69.44 ;  L  ;   1244.94 ;
 22 ; MEDIA ; 55 ;GLOBAL II    ;  5 ; NE ;      0.00 ;      0.00 ;     69.44 ;      69.44 ;  L  ;   1244.94 ;
 22 ; MEDIA ; 55 ;GLOBAL II    ;  6 ; NE ;      0.00 ;      0.00 ;     69.44 ;      69.44 ;  L  ;   1244.94 ;
 22 ; MEDIA ; 55 ;GLOBAL II    ;  7 ; NE ;      0.00 ;      0.00 ;    114.08 ;     114.08 ;  L  ;   1244.94 ;
 22 ; MEDIA ; 55 ;GLOBAL II    ;  8 ; NE ;      0.00 ;      0.00 ;    114.08 ;     114.08 ;  L  ;   1244.94 ;
 22 ; MEDIA ; 55 ;GLOBAL II    ;  9 ; NE ;      0.00 ;      0.00 ;    104.16 ;     104.16 ;  L  ;   1244.94 ;
 22 ; MEDIA ; 55 ;GLOBAL II    ; 10 ; NE ;      0.00 ;      0.00 ;    114.08 ;     114.08 ;  L  ;   1244.94 ;
 22 ; MEDIA ; 55 ;GLOBAL II    ; 11 ; NE ;      0.00 ;      0.00 ;    148.80 ;     148.80 ;  L  ;   1244.94 ;
 22 ; MEDIA ; 55 ;GLOBAL II    ; 99 ; NE ;      0.00 ;      0.00 ;    144.00 ;    1041.60 ;  -  ;           ;
 22 ; MEDIA ; 57 ;MARACANAU I  ;  1 ; NE ;      0.00 ;      0.00 ;     20.37 ;      20.37 ;  L  ;   1067.75 ;
 22 ; MEDIA ; 57 ;MARACANAU I  ;  2 ; NE ;      0.00 ;      0.00 ;     20.37 ;      20.37 ;  L  ;   1067.75 ;
 22 ; MEDIA ; 57 ;MARACANAU I  ;  3 ; NE ;      0.00 ;      0.00 ;     20.37 ;      20.37 ;  L  ;   1067.75 ;
 22 ; MEDIA ; 57 ;MARACANAU I  ;  4 ; NE ;      0.00 ;      0.00 ;     20.37 ;      20.37 ;  L  ;   1067.75 ;
 22 ; MEDIA ; 57 ;MARACANAU I  ;  5 ; NE ;      0.00 ;      0.00 ;     20.37 ;      20.37 ;  L  ;   1067.75 ;
 22 ; MEDIA ; 57 ;MARACANAU I  ;  6 ; NE ;      0.00 ;      0.00 ;     20.37 ;      20.37 ;  L  ;   1067.75 ;
 22 ; MEDIA ; 57 ;MARACANAU I  ;  7 ; NE ;      0.00 ;      0.00 ;     20.37 ;      20.37 ;  L  ;   1067.75 ;
 22 ; MEDIA ; 57 ;MARACANAU I  ;  8 ; NE ;      0.00 ;      0.00 ;     20.37 ;      20.37 ;  L  ;   1067.75 ;
 22 ; MEDIA ; 57 ;MARACANAU I  ; 99 ; NE ;      0.00 ;      0.00 ;    142.00 ;     162.96 ;  -  ;           ;
 22 ; MEDIA ; 58 ;TERMOCEARA   ;  1 ; NE ;      0.00 ;      0.00 ;     52.30 ;      52.30 ;  L  ;    567.76 ;
 22 ; MEDIA ; 58 ;TERMOCEARA   ;  2 ; NE ;      0.00 ;      0.00 ;    104.60 ;     104.60 ;  L  ;    567.76 ;
 22 ; MEDIA ; 58 ;TERMOCEARA   ;  3 ; NE ;      0.00 ;      0.00 ;    156.90 ;     156.90 ;  L  ;    567.76 ;
 22 ; MEDIA ; 58 ;TERMOCEARA   ;  4 ; NE ;      0.00 ;      0.00 ;    209.20 ;     209.20 ;  L  ;    567.76 ;
 22 ; MEDIA ; 58 ;TERMOCEARA   ; 99 ; NE ;      0.00 ;      0.00 ;    217.00 ;     523.00 ;  -  ;           ;
 22 ; MEDIA ; 60 ;NORTEFLU     ;  1 ; SE ;      0.00 ;      0.00 ;    250.00 ;     250.00 ;  L  ;      0.00 ;
 22 ; MEDIA ; 60 ;NORTEFLU     ;  2 ; SE ;      0.00 ;      0.00 ;    250.00 ;     250.00 ;  L  ;      0.00 ;
 22 ; MEDIA ; 60 ;NORTEFLU     ;  3 ; SE ;      0.00 ;      0.00 ;    250.00 ;     250.00 ;  L  ;      0.00 ;
 22 ; MEDIA ; 60 ;NORTEFLU     ;  4 ; SE ;      0.00 ;      0.00 ;    520.00 ;     520.00 ;  L  ;      0.00 ;
 22 ; MEDIA ; 60 ;NORTEFLU     ;  5 ; SE ;      0.00 ;      0.00 ;    520.00 ;     520.00 ;  L  ;      0.00 ;
 22 ; MEDIA ; 60 ;NORTEFLU     ;  6 ; SE ;      0.00 ;      0.00 ;    520.00 ;     520.00 ;  L  ;      0.00 ;
